date,NVDA_close,MSFT_close,AAPL_close,NVDA_return,MSFT_return,AAPL_return,NVDA_volatility,MSFT_volatility,AAPL_volatility
2020-01-02,72.40052795410156,152.1584014892578,5.970755100250244,,,,,,
2020-01-03,71.69664001464844,150.26373291015625,5.87518835067749,-0.0097697067616605,-0.012530123643306133,-0.01613528265414939,,,
2020-01-06,72.26792907714844,150.65216064453125,5.8998260498046875,0.007936564737387927,0.0025816379821023156,0.004184748186980562,,,
2020-01-07,71.92805480957031,149.2784881591797,5.971251487731934,-0.00471406883631382,-0.009159998124328874,0.012033667478077688,,,
2020-01-08,73.08511352539062,151.65628051757812,5.98245096206665,0.015958319985491225,0.015803038337388355,0.0018738089991246257,,,
2020-01-09,74.63751220703125,153.5509490966797,6.048155784606934,0.021018524750299517,0.012415780060532814,0.010923052712069883,,,
2020-01-10,74.80623626708984,152.84048461914062,6.080507755279541,0.002258028635800174,-0.004637634559759078,0.005334808290254154,,,
2020-01-13,76.40442657470703,154.67825317382812,6.271145820617676,0.02113937989375494,0.011952380179279822,0.03087087958610186,,,
2020-01-14,75.3727035522461,153.58888244628906,6.1541748046875,-0.013595446338885939,-0.007067735327096881,-0.01882840291068939,,,
2020-01-15,75.0496826171875,154.58352661132812,6.111617565155029,-0.00429485849568264,0.006455137381575085,-0.006939202787564412,,,
2020-01-16,75.98979949951172,157.41604614257812,6.195239067077637,0.012448785047723954,0.01815770021596158,0.01358962590335803,,,
2020-01-17,76.83108520507812,158.2970428466797,6.20395040512085,0.011010199370041149,0.005581010237306193,0.0014051466018932244,,,
2020-01-21,76.3104248046875,157.7286376953125,6.170600891113281,-0.006799755422153436,-0.0035972125007024485,-0.005390028931068604,,,
2020-01-22,76.58279418945312,156.97076416015625,6.224606513977051,0.0035628744646824715,-0.004816501053552684,0.008714007412155464,,,
2020-01-23,76.95159912109375,157.93707275390625,6.293047904968262,0.004804208790432823,0.006137107517838677,0.01093528719048391,,,
2020-01-24,76.72984313964844,156.34556579589844,6.233814716339111,-0.002885919498042185,-0.010127957239164402,-0.00945705750654312,,,
2020-01-27,74.47357940673828,153.73095703125,5.977971076965332,-0.029846298221118502,-0.016864680437875142,-0.04190723382671287,,,
2020-01-28,76.5804214477539,156.7434539794922,6.171347141265869,0.027897025749254525,0.019406375436203143,0.03183592580138225,,,
2020-01-29,78.18341064453125,159.18751525878906,6.110870838165283,0.02071603555104686,0.01547243084922439,-0.009847861673243613,,,
2020-01-30,78.07007598876953,163.67784118652344,6.117589950561523,-0.0014506514776558466,0.027817264290580283,0.0010989303050516742,,,
2020-01-31,74.60855102539062,161.26214599609375,5.8841447830200195,-0.045351707827200764,-0.014868836038488431,-0.03890681137709517,0.28235240989606936,0.205083985188385,0.30034378960631275
2020-02-03,74.4036865234375,165.19351196289062,5.981207370758057,-0.0027496349883213878,0.02408630963730501,0.016361040387617043,0.2797227832320166,0.20966756986258758,0.3003883734828343
2020-02-04,76.8600082397461,170.63111877441406,6.150442123413086,0.03248020168361307,0.03238643976192337,0.027901520172592186,0.29965916842994206,0.2311923754851592,0.31526278563538657
2020-02-05,77.48675537109375,170.42271423339844,6.240782260894775,0.00812133097570033,-0.0012221212417801543,0.014581567626684685,0.29869324392555846,0.22584068098380314,0.31645718429693126
2020-02-06,78.39311218261719,173.9562225341797,6.327641010284424,0.011629045366346237,0.02052176792473649,0.013821961649503015,0.2967298422250236,0.22898381626899272,0.319120918083154
2020-02-07,77.32752990722656,174.2025146484375,6.261440277099609,-0.013686032804214873,0.001414826796162857,-0.010517263633991534,0.29513042964020164,0.22877282275104563,0.32095659594772247
2020-02-10,77.69483184814453,178.7591552734375,6.54465913772583,0.004738705101410605,0.025820898851139137,0.04423908334570577,0.29531610058337526,0.2349078476850971,0.35468430504792703
2020-02-11,77.22605895996094,174.7235565185547,6.667105197906494,-0.006051789612601405,-0.02283435069405103,0.018536444200231764,0.28748298047110016,0.25812253175625105,0.3447038682937033
2020-02-12,79.06001281738281,174.9793701171875,6.782833099365234,0.023470268622807603,0.0014630340484930852,0.017209113527441727,0.293366799522642,0.2540985575142395,0.3380223052265484
2020-02-13,78.49700927734375,174.03201293945312,6.7390313148498535,-0.007146694305933106,-0.005428817227392153,-0.006478683173030961,0.2944012766262505,0.25761564901760087,0.33781292760876275
2020-02-14,78.51634216308594,175.58563232421875,7.212142467498779,0.0002462578584881014,0.008887592673933149,0.0678498666119745,0.2919684812693524,0.253851564761279,0.404649433201464
2020-02-18,77.07866668701172,177.3665771484375,7.380878925323486,-0.018480237928119054,0.010091790850487895,0.023126667718502567,0.29811067440176175,0.25438408643616334,0.40757473076176876
2020-02-19,78.19499206542969,177.89852905273438,7.832087993621826,0.01437905980140868,0.0029946780168456574,0.0593364132124235,0.30101687610885836,0.25226038232967274,0.44129160711821935
2020-02-20,77.39277648925781,175.18182373046875,7.68276309967041,-0.01031215618832047,-0.015388898954095441,-0.019249879248081823,0.3036025222849129,0.2609249984664187,0.4549401893473252
2020-02-21,75.64098358154297,169.643798828125,7.318660259246826,-0.022895202064825818,-0.03212348946474392,-0.04855197452859581,0.3141631753609288,0.29303262119262175,0.5009079362907933
2020-02-24,72.04801177978516,162.3295440673828,6.801250457763672,-0.04866552010511591,-0.04407244618360056,-0.0733208004052902,0.357164866261695,0.3357451907125409,0.5754202270037542
2020-02-25,69.60759735107422,159.6508026123047,6.521762847900391,-0.03445900833216516,-0.016639545168987788,-0.04196177128525713,0.36207955092645105,0.3355794098825142,0.5754784122575479
2020-02-26,70.71182250976562,161.6455841064453,6.661130905151367,0.015739060985288517,0.01241723970423642,0.021144560876692458,0.35053891036326823,0.331634466113933,0.5699311115871816
